slot,front_sig,front_signer_site,front_sell_amount_site,front_buy_amount_site,back_sig,back_signer_site,back_sell_amount_site,back_buy_amount_site,front_signer_db,front_sell_amount_db,front_buy_amount_db,back_signer_db,back_sell_amount_db,back_buy_amount_db,status,same_signer,profit,relative_amount_diff,,,,,
377251296,tCLJcK8FyTYanSrGvbwjnaSZSr92yuof7LqKqCfZpNDFDdt9q5PLHSeHXZBK924FrmLBNEDTAKpVFPyUhiXmpt1,6FAMgY,0.1,3564784,4f5HCu2NJ4jHfZSgAHYzko9uEdBzofwBdYyupR5juGbG4Sh2Rq94kdDdAm8iKYSg8WuiobrHSv8vycTwKo4vU6VF,6FAMgY,3564784,0.101,nan,0,0,nan,0,0,site_only,TRUE,0.001,0,,,,,
377252757,4XwBUQvLW2BeW9GAacztXkfwibHwxJf9MS41ZPZn3kHd7ufm5sLtnTpCR6SYrTfj1vuVTa3hQm3xxTrHE2EUE4PB,FjfbHM,0.988,34199203,3dXu2dLJCmcRddpdXza1bjv1UNn93rjcAWchSQEv8qWYut2dLQZme1LmQjj2YK19KdhXAx37V21xR6hVg8gXFh4G,FjfbHM,34199203,1.1,nan,0,0,nan,0,0,site_only,TRUE,0.112,0,,,,,
377252818,5bweUnorKTQ1y4U6PcFekNTmiZXSi346RStN8vqctYa9FpcymXMmwq9HsvgoVhGgq8isDDDbtJ53aZpZ7Wpidgo,8sCBAZ,1.975,66285714,3nvDdpKSxEcv4A21uS5wwRLD6fxA8si43PWVZTKQEqGd4YWS4cGYwRvmtxkaXYcMA2pDirhoYrxPC9dGDMEPDhcY,8sCBAZ,66285714,2.084,nan,0,0,nan,0,0,site_only,TRUE,0.109,0,,,,,
377256136,3VWq9LVKwNpXjEMTUpKyEnUNhfE2xeGREZi6PvYaf38z2kcfVbHx1HRajz2Cmz4zFNj5AwDabjxskTzeUbRvmn7e,Fwv8kQ,44590.672,0.488,nC7ZG9pn5aU1FAG8TpTVPLBDmppsNRimbVWGWc27sXmBsYpxUdLRPqYgUay6w2yRuztsEcymEKDKFuZgGxyktES,Fwv8kQ,0.3,2102722.2,nan,0,0,nan,0,0,site_only,TRUE,2058131.528,0.385245902,,,,,
377258932,4i4UVKAaaUEsRQrmqBbiHua6cpSsX2Yk1onnGzDas9FUupWZ1fgXe8b92hwq33LMVYXHRwKxWQUrwokX8BmUDW9N,Ha3B6J,3,97545454,2nnjLTBPthcUakhmgLbssaTY1pPhQrX967t3RWwtHhDM39wR1VaHQScg1wUVfxm1AxLm5nabDfBoK8x5LjhH8TwG,Ha3B6J,97545454,3.33,nan,0,0,nan,0,0,site_only,TRUE,0.33,0,,,,,
377263160,3GdxYjm2KjVN7ceJSRrEW2LBpL1DNczpdEM1bq5T2Jhd6jLiz2Z7DBYFcmePBuossExR4GhnXuZNqu2kRH87zRTT,CKyLpU,268685.98,1.161,jtWJoQaeYcb9eiEg97wmBTJX4jNSH1BkhAxdnj884bqc8Ku4vsvSDFPJ7LALbpWSCriPKKhbeF31JutDAiDzZP8,CKyLpU,0.596,3768416.6,nan,0,0,nan,0,0,site_only,TRUE,3499730.62,0.48664944,,,,,
377264794,5ZgnDaf9ajV5nZZJoE4t5KWLaDZDznpREwrAQJYHR7RtNBFWmd6V9a6uBcsQb7ohwDLqNYbpVKgbTALLHXLzvfsj,CaRnFK,0.474,16692270,3Yn752GAQCV8f1gJ9mPFzF5XFxUfkJyjtW5Ht7XV8P63vSUEYj9TzQeyp3tNF2gWNSsrcWy8y1zkK3xEDnUXgHfJ,CaRnFK,16692270,0.511,nan,0,0,nan,0,0,site_only,TRUE,0.037,0,,,,,
377274788,2oTZairf68S7S7WFMjewNZbMtUzCE3v5iQwkhPGsWtQYf3GAJmpmfHcWiBEEnb7Piu5Wjz5DZEnKoxXSsr4KvHdP,DDELA2,2,67062499,vmq4cYJgWdFkDriJkEoLZ1Q4FLwTjDrMsWQ1z7VRoY58JdK9CcdNekFPFRq5EdDAwBbLVD5TPMHi6e9ctipxHdz,DDELA2,67062499,2.052,nan,0,0,nan,0,0,site_only,TRUE,0.052,0,,,,,
377275227,9SPTAtiQhrMU7S34MoHuY1DxyyCThpAyRsHniaorupAEikS3H9tYRATqkD1fp8TfBduP28L8fdp8hSbmuQffuEW,8NRNmz,0.375,13257681,42Vycme4Jvr1xBLTjqBFeifZsDcSSnpc6BmNbMLnGWeDqsnAQJSuoYtUgRmTNswLnbYyZqavDNyuEw33yFzSQRdz,8NRNmz,13257681,0.404,nan,0,0,nan,0,0,site_only,TRUE,0.029,0,,,,,
377276924,3CC5F7nS4NNVyFcr7uT8mtiAzmtSKqWbxhNneY8EzLh9tamV7TpzWfi7Zsp1iNeEa23WiXBoNgKakh7u8EvKS9TV,87oS4z,49162.547,0.617,2yrdFog5oMCDNQUpTQC9LHad6VjrYiacPrjtzDPuoYRd38CXUdznMUnbAzp4s99VyTL2PqEXPSbBPpygMkWq8ADP,87oS4z,0.435,2977800.8,nan,0,0,nan,0,0,site_only,TRUE,2928638.253,0.294975689,,,,,
